propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,externalReference,floor,district,neighborhood,hasLift,parkingSpace,labels,newDevelopmentFinished
98903350,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7a/b5/61/1027174063.jpg,33,550.0,chalet,rent,371.0,False,6,3,Numancia de la Sagra,Toledo,Numancia de la Sagra,es,40.0675955,-3.8225891,False,https://www.idealista.com/inmueble/98903350/,40116,"UGENA VILLAGE INMOBILIARIA GESTIONA en exclusiva el alquiler de CHALET INDIVIDUAL en urbanización Villeriche. La vivienda está dividida en apartamentos-casas que se pueden alquilar en conjunto o por separado. La primera vivienda cuenta con salón con estufa de pellets, cocina amueblada y equipada con campana extractora, horno, vitrocerámica, lavadora y nevera, 4 habitaciones (la principal con vestidor y baño con bañera y ducha de hidromasaje), 2 baños completos, y cuarto de plancha. Todas las estancias tienen aire acondicionado con bomba frio-calor. Vivienda recién reformada, muy luminosa y espaciosa.  La segunda vivienda cuenta con 2 habitaciones, salon con aire acondicionado, cocina amueblada y equipada con campana extractora, horno, vitrocerámica, lavadora, nevera y aire acondicionado y baño con bañera.  Alquiler vivienda 4 habitaciones: 800€ Alquiler vivienda 2 habitaciones: 550€ Alquiler vivienda entera: 1350€ *LA VIVIENDA TIENE CONTRATADO UN MANTENIMIENTO DE ZONAS COMUNES (PISCINA, CENADOR.. . ). Zona muy tranquila.  A 2 minutos de la CM-41, a 5 minutos de la A-42.",False,good,False,1.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Numancia de la Sagra', 'title': 'Casa independiente'}",False,False,False,False,False,False,,,,,,,,
91615378,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/59/73/3f/1024519300.jpg,12,750.0,flat,rent,60.0,True,1,1,"Calle de Alejandro Villegas, 23",Madrid,Madrid,es,40.4646164,-3.6489179,True,https://www.idealista.com/inmueble/91615378/,7037,"LOFT DE DISEÑO. Orientación Este. Muy soleado y luminoso. Este loft te ofrece la posibilidad de vivir en espacios amplios completamente integrados unos con otros.  El dormitorio separado de las otras estancias por un amplio armario hace que sea una estancia completamente independiente. El cuarto de baño, tiene perfectamente delimitadas e individualizadas la zona de ducha con columna de hidromasaje, lavabo de acero y la zona del inodoro separada por puerta corredera de cristal al ácido.  La cocina integrada en salón-comedor equipada con todos los electrodomésticos y gran espacio de almacenamiento. Suelos de porcelánico gris. Paredes lisas. Calefacción y aire acondicionado INDIVIDUAL frío/calor. Agua caliente termo eléctrico de 100 litros. Edificio de 12 lofts muy tranquilo, a 3 minutos andando del metro Pinar del Rey y del Centro Comercial Gran Vía de Hortaleza. Acceso a M-30 a 2 minutos Posibilidad de plaza de garaje en el mismo edificio: + 60 €/mes. Trastero en el mismo edificio: +35€/mes. Disponibilidad inmediata. Se exigen garantías.",False,good,False,13.0,{'typology': 'flat'},"{'subtitle': 'Canillas, Madrid', 'title': 'Piso en Calle de Alejandro Villegas, 23'}",False,False,False,False,False,False,AV23,3,Hortaleza,Canillas,True,,,
88363329,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0e/a1/25/1025350613.jpg,21,750.0,flat,rent,70.0,True,2,1,Gregorio izquierdo,Madrid,San Sebastián de los Reyes,es,40.5500865,-3.6278085,False,https://www.idealista.com/inmueble/88363329/,16145,"Estupendo piso muy iluminado, recientemente reformado.  Consta de dos dormitorios con armarios empotrados, baño con plato de ducha, espacioso salón y cocina equipada con electrodomésticos (incluye vitro, refrigerador, horno, microondas y lavadora). La calefacción es individual y a gas. El piso tiene muy buena comunicación, se encuentra a menos de 5 minutos andando de la estación de metro de Reyes Católicos, próximo a paradas de autobuses urbanos e inter urbanos Cerca del piso se encuentran, bibliotecas y múltiples servicios, parques, lugares de compra y ocio en general, así como variedad de tiendas, cafés y bares. Es un piso muy acogedor y muy bien ubicado. No pierdas esta oportunidad! Los datos indicados son de carácter informativo, sin valor contractual. Los impuestos no están incluidos.",True,good,False,11.0,{'typology': 'flat'},"{'subtitle': 'Centro Urbano, San Sebastián de los Reyes', 'title': 'Piso en Gregorio izquierdo'}",True,False,False,False,False,False,,bj,Centro Urbano,,False,,,
98621753,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/96/1a/25/1018319776.jpg,28,400.0,penthouse,rent,67.0,True,2,2,Calle Madrid,Madrid,Villamanrique de Tajo,es,40.069197,-3.241383,False,https://www.idealista.com/inmueble/98621753/,55041,"A estrenar ático con piscina en Calle Madrid, 28598, Villamanrique de Tajo, a 40 minutos del centro de Madrid. Es un piso soleado, construido en el año 2007, que tiene 67 m2 y dispone de 2 habitaciones y 2 cuartos de baño además de terraza de 8 m2. Ático a estrenar, reformado en urbanización privada que dispone de piscina y jardín, además de zona infantil.  Tiene la cocina completamente amueblada con electrodomésticos: nevera, horno, lavadora, vitrocerámica y campana extractora. La vivienda dispone de armarios empotrados en ambos dormitorios y dispone de puerta de seguridad y calefacción gas natural individual. Excelentes calidades. Comunidad por cuenta del inquilino 50€/mes. Acceso mediante vehículo privado por A3 y transporte público.  REQUISITOS: Documentación a aportar: - Contrato de trabajo. - Tres últimas nóminas. - Vida laboral ACTUALIZADA - DNI ó NIE. Conceptos por el alquiler: - 1 mes de fianza - 1 mes alquiler en curso - 1 mes comisión de agencia + 21% I. V. A   En Assel nos dedicamos a la gestión integral de patrimonio, alquiler y venta de viviendas.",False,good,False,6.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Villamanrique de Tajo', 'title': 'Ático en Calle Madrid'}",False,False,True,False,False,False,90004,2,,,False,,,
98222714,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6c/2d/5b/1022163220.jpg,22,450.0,flat,rent,89.0,False,2,1,Calle Arroyo,Toledo,Recas,es,40.0536974,-3.9912159,False,https://www.idealista.com/inmueble/98222714/,47186,"REDPISO alquila esta vivienda situada en el municipio de Recas, zona muy tranquila. La vivienda está TOTALMENTE REFORMADA, cuenta con 2 dormitorios con armarios empotrados, un baño completo, la cocina se entregará completamente equipada, ascensor y plaza de garaje incluida en el precio. ¡NO DUDE EN VISITARLO SIN COMPROMISO!",False,good,False,5.0,{'typology': 'flat'},"{'subtitle': 'Recas', 'title': 'Piso en Calle Arroyo'}",False,False,False,False,False,False,RP1882022101719,2,,,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
98027143,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e8/16/06/998653646.jpg,21,450.0,flat,rent,60.0,True,2,1,Calle Arena,Toledo,Cedillo del Condado,es,40.1171401,-3.9246053,False,https://www.idealista.com/inmueble/98027143/,38237,"Investment Group10 alquila maravilloso piso en la localidad toledana de Cedillo del Condado. Piso en la primera planta de un edificio de dos alturas sobre rasante. Consta de 2 dormitorios y 1 baño, salón comedor y cocina independiente amueblada y semiequipada (lavadora, frigorífico, horno, campana extratora y vitrocerámica). Propiedad en buen estado/Recién reformada. Carpintería interior de roble color beige y solados de plaqueta en toda la vivienda. Carpintería exterior de aluminio. Alquiler: 550€/mes No pierdas la oportunidad. Para mas información, consúltanos al: 622.76. 36.06 // 617.60. 27.81.",False,good,False,8.0,{'typology': 'flat'},"{'subtitle': 'Cedillo del Condado', 'title': 'Piso en Calle Arena'}",False,False,False,False,False,False,Alq-Ced1,1,,,False,,,
98568766,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a4/4f/9f/1016648795.jpg,11,590.0,flat,rent,70.0,True,3,2,Rascafría,Madrid,Rascafría,es,40.9073967,-3.8815996,False,https://www.idealista.com/inmueble/98568766/,56596,"-RASCAFRÍA- Piso de 70 m², exterior, amueblado y para entrar a vivir. La vivienda consta de salón con acceso a terraza exterior, tres dormitorios con armarios empotrados y dos baños completos. Cocina independiente. Calefacción y agua caliente mediante propano. Agua incluido en comunidad Suelo cerámico y pintura gotelé. Rodeado de todo tipo de servicios, comercios y zonas de ocio. Gastos de comunidad incluidos en el precio. SIN COMISIÓN DE AGENCIA.",False,good,False,8.0,{'typology': 'flat'},"{'subtitle': 'Rascafría', 'title': 'Piso'}",False,False,False,False,False,False,2539,,,,False,,,
98323777,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/02/d7/d2/1008135779.jpg,17,684.0,studio,rent,45.0,True,0,1,"Av. José Antonio Corrales, 2",Madrid,Madrid,es,40.4855273,-3.6155982,True,https://www.idealista.com/inmueble/98323777/,10656,"STUDIO SIN AMUEBLAR CON GARAJE, TRASTERO Y PISCINA, ALQUILER POR AÑOS A ESTRENAR DESDE 684€ (Sin comisión de agencias) Valdebebas Living ofrece una nueva formar de vivir en Madrid para personas que eligen tener su hogar, su espacio de trabajo, su comunidad en un sólo lugar. Ubicado en Valdebebas frente a el Parque Forestal Felipe VI (el mayor parque urbano de Madrid) un entorno natural ideal para el paseo, las actividades al aire libre y el deporte, con todo tipo de servicios de restauración y ocio. Junto a la próxima estación de metro de Valdebebas, a tan solo 10 min de Plaza de Castilla.  Cada apartamento ha sido diseñado primando el confort de nuestros residentes, y se ha dotado de climatización individual con aerotérmia (calor / frio) en todas las unidades. Todas los apartamentos son exteriores con vistas al parque, jardín o a la ciudad. Amenities Piscina Gimnasio (membership) Zona ajardinada Terraza en azotea con zona de barbacoa Concierge Pre-instalación de cargadores eléctricos para vehículos Pet-friendly Otros beneficios residentes Obra Nueva Studio sin amueblar Las tarifas son bonificadas únicamente el primer año Condiciones: Alquiler por años ¿Qué está incluido en el alquiler? Sin amueblar Parking Trastero Sin comisión de agencia. Comunicaciones, buenas conexiones por carretera y de transporte público. Renfe (tren de cercanías): Estación a 450 metros -> Líneas C1 y C10: 3 paradas -Nuevos Ministros; 4 paradas - Recoletos; 5 paradas - Atocha. Aeropuerto T4 a 1 sólo parada. Autobuses: Parada a 260 metros, Líneas 171 y1 74 conectan con intercambiador Mar de Cristal. Metro: próxima estación de metro de Valdebebas, a tan solo 10 min de Plaza de Castilla. Contacto Para consultar disponibilidad, póngase en contacto con nosotros. Whatsapp: +34 911 438 350 H o m e c l u b. c o m.",False,good,False,15.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Valdebebas - Valdefuentes, Madrid', 'title': 'Estudio en Av. José Antonio Corrales, 2'}",False,False,False,False,False,False,Sin amueblar Valdebebas Studio Park,2,Hortaleza,Valdebebas - Valdefuentes,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
98715909,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/55/ab/9b/1021422702.jpg,19,600.0,flat,rent,73.0,True,2,1,Manzanares el Real,Madrid,Manzanares el Real,es,40.727241,-3.8627075,False,https://www.idealista.com/inmueble/98715909/,37062,"¡ RAYAN CONSULTING INMOBILIARIO ALQUILA! Piso de 1993, 73 m2 construidos, 3º sin ascensor. Entrada: salón comedor con magnífica terraza y vistas al embalse. Cocina amueblada y equipada (nevera, lavadora, lavavajillas) dispone de terraza tendedero con vistas a las zonas comunes. 2 habitaciones, 2 a/e y 1 baño. ¡NO SE ADMITEN MASCOTAS! Calefacción bomba frio/calor, ventanas de PVC oscilobatiente cristal climalit. Suelos de tarima flotante AC5 y portero automático. Zonas comunes: piscina y jardín Parada del bus a 100 metros.  Para mas información contacte con su agente inmobiliario José Manzanares: 722 79 27 07.",False,good,False,8.0,{'typology': 'flat'},"{'subtitle': 'Manzanares el Real', 'title': 'Piso'}",False,False,False,False,False,False,J-1823,3,,,False,,,
98842551,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/99/22/c3/1025635409.jpg,15,600.0,duplex,rent,71.0,True,1,1,Calle de la Fuente,Madrid,Miraflores de la Sierra,es,40.81076,-3.7651952,False,https://www.idealista.com/inmueble/98842551/,44126,"Se alquila duplex céntrico en Miraflores de la Sierra, frente al centro de salud, ubicado cercano a todos los servicios necesarios para la vida diaria: Transporte, salud, comercio, educación, ocio, etc. Distribuido en dos plantas, en la planta superior se encuentra un amplio y luminoso salón con estufa de pellets y salida a una fantástica terraza con vistas a la montaña y al casco urbano, en esta planta también contamos con la cocina. En la planta baja contamos con el dormitorio, una estancia para darle cualquier uso y un baño completo.  Las condiciones son: Mes de fianza, mes de gestión, mes corriente y documentación que confirme ingresos recurrentes.",False,good,False,8.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Miraflores de la Sierra', 'title': 'Dúplex en Calle de la Fuente'}",False,False,False,False,False,False,fuente28,1,,,False,,,
